Australian Bureau of Statistics,,,,
,,,,
"Motor Vehicle Census, 2021",,,,
"Year of manufacture, Vehicle type and Vehicle Level",,,,
Counting: Vehicle Level,,,,
,,,,
Year of manufacture,Vehicle type,Counting,Count,Annotations
2009,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),5741,
2009,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),12287,
2009,Prime Movers,Vehicle Level (#),2774,
2009,Buses > 9 seats,Vehicle Level (#),4384,
2009,Tow Trucks,Vehicle Level (#),142,
2009,Fire Appliances,Vehicle Level (#),296,
2009,Trucks with Machinery Mounted,Vehicle Level (#),192,
2009,Other Non Freight Carrying Trucks,Vehicle Level (#),36,
2010,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),7984,
2010,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),15141,
2010,Prime Movers,Vehicle Level (#),5027,
2010,Buses > 9 seats,Vehicle Level (#),4978,
2010,Tow Trucks,Vehicle Level (#),143,
2010,Fire Appliances,Vehicle Level (#),326,
2010,Trucks with Machinery Mounted,Vehicle Level (#),314,
2010,Other Non Freight Carrying Trucks,Vehicle Level (#),54,
2011,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),5592,
2011,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),9643,
2011,Prime Movers,Vehicle Level (#),3011,
2011,Buses > 9 seats,Vehicle Level (#),5332,
2011,Tow Trucks,Vehicle Level (#),123,
2011,Fire Appliances,Vehicle Level (#),194,
2011,Trucks with Machinery Mounted,Vehicle Level (#),286,
2011,Other Non Freight Carrying Trucks,Vehicle Level (#),41,
2012,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),7264,
2012,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),13537,
2012,Prime Movers,Vehicle Level (#),5284,
2012,Buses > 9 seats,Vehicle Level (#),4835,
2012,Tow Trucks,Vehicle Level (#),125,
2012,Fire Appliances,Vehicle Level (#),363,
2012,Trucks with Machinery Mounted,Vehicle Level (#),260,
2012,Other Non Freight Carrying Trucks,Vehicle Level (#),46,
2013,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),7443,
2013,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),12096,
2013,Prime Movers,Vehicle Level (#),5782,
2013,Buses > 9 seats,Vehicle Level (#),4159,
2013,Tow Trucks,Vehicle Level (#),111,
2013,Fire Appliances,Vehicle Level (#),285,
2013,Trucks with Machinery Mounted,Vehicle Level (#),214,
2013,Other Non Freight Carrying Trucks,Vehicle Level (#),41,
2014,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),7991,
2014,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),12550,
2014,Prime Movers,Vehicle Level (#),5457,
2014,Buses > 9 seats,Vehicle Level (#),4732,
2014,Tow Trucks,Vehicle Level (#),136,
2014,Fire Appliances,Vehicle Level (#),280,
2014,Trucks with Machinery Mounted,Vehicle Level (#),245,
2014,Other Non Freight Carrying Trucks,Vehicle Level (#),40,
2015,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),9035,
2015,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),13093,
2015,Prime Movers,Vehicle Level (#),4650,
2015,Buses > 9 seats,Vehicle Level (#),4548,
2015,Tow Trucks,Vehicle Level (#),154,
2015,Fire Appliances,Vehicle Level (#),277,
2015,Trucks with Machinery Mounted,Vehicle Level (#),199,
2015,Other Non Freight Carrying Trucks,Vehicle Level (#),63,
2016,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),10182,
2016,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),13310,
2016,Prime Movers,Vehicle Level (#),4664,
2016,Buses > 9 seats,Vehicle Level (#),4282,
2016,Tow Trucks,Vehicle Level (#),153,
2016,Fire Appliances,Vehicle Level (#),296,
